sample: 217, episode: 9, total reward: 9.071
sample: 218, episode: 9, total reward: 10.85
sample: 219, episode: 9, total reward: 7.979
sample: 220, episode: 9, total reward: 10.522
sample: 221, episode: 9, total reward: 10.381
sample: 222, episode: 9, total reward: 8.275
sample: 223, episode: 9, total reward: 11.087
sample: 224, episode: 9, total reward: 8.664
sample: 225, episode: 9, total reward: 13.391
sample: 226, episode: 9, total reward: 12.159
sample: 227, episode: 9, total reward: 16.118
sample: 228, episode: 9, total reward: 16.533
sample: 229, episode: 9, total reward: 7.309
sample: 230, episode: 9, total reward: 10.2
sample: 231, episode: 9, total reward: 9.539
sample: 232, episode: 9, total reward: 14.216
sample: 233, episode: 9, total reward: 10.092
sample: 234, episode: 9, total reward: 6.855
sample: 235, episode: 9, total reward: 5.892
sample: 236, episode: 9, total reward: 10.223
sample: 237, episode: 9, total reward: 9.815
sample: 238, episode: 9, total reward: 13.666
sample: 239, episode: 9, total reward: 9.219
sample: 240, episode: 9, total reward: 8.492
sample: 241, episode: 9, total reward: 13.764
sample: 242, episode: 9, total reward: 10.591
sample: 243, episode: 9, total reward: 8.047
sample: 244, episode: 9, total reward: 11.187
sample: 245, episode: 9, total reward: 11.283
sample: 246, episode: 9, total reward: 7.226
sample: 247, episode: 9, total reward: 11.606
sample: 248, episode: 9, total reward: 8.759
sample: 249, episode: 9, total reward: 13.633
sample: 250, episode: 9, total reward: 9.536
sample: 251, episode: 9, total reward: 11.355
sample: 252, episode: 9, total reward: 5.39
sample: 253, episode: 9, total reward: 3.6
sample: 254, episode: 9, total reward: 6.637
sample: 255, episode: 9, total reward: 16.046
sample: 256, episode: 9, total reward: 7.493
sample: 257, episode: 9, total reward: 2.722
sample: 258, episode: 9, total reward: 6.053
sample: 259, episode: 9, total reward: 11.151
sample: 260, episode: 9, total reward: 7.289
sample: 261, episode: 9, total reward: 4.572
sample: 262, episode: 9, total reward: 9.858
sample: 263, episode: 9, total reward: 15.039
sample: 264, episode: 9, total reward: 5.506
sample: 265, episode: 9, total reward: 10.905
sample: 266, episode: 9, total reward: 6.093
sample: 267, episode: 9, total reward: 4.44
sample: 268, episode: 9, total reward: 10.143
sample: 269, episode: 9, total reward: 13.263
sample: 270, episode: 9, total reward: 12.339
sample: 271, episode: 9, total reward: 16.434
sample: 272, episode: 9, total reward: 10.463
sample: 273, episode: 9, total reward: 8.98
sample: 274, episode: 9, total reward: 10.416
sample: 275, episode: 9, total reward: 7.245
sample: 276, episode: 9, total reward: 14.031
sample: 277, episode: 9, total reward: 5.422
sample: 278, episode: 9, total reward: 11.214
sample: 279, episode: 9, total reward: 13.348
sample: 280, episode: 9, total reward: 6.118
sample: 281, episode: 9, total reward: 9.63
sample: 282, episode: 9, total reward: 13.365
sample: 283, episode: 9, total reward: 12.514
sample: 284, episode: 9, total reward: 4.98
sample: 285, episode: 9, total reward: 7.625
sample: 286, episode: 9, total reward: 7.415
sample: 287, episode: 9, total reward: 11.861
sample: 288, episode: 9, total reward: 7.144
sample: 289, episode: 9, total reward: 15.262
sample: 290, episode: 9, total reward: 6.901
sample: 291, episode: 9, total reward: 8.658
sample: 292, episode: 9, total reward: 18.243
sample: 293, episode: 9, total reward: 5.229
sample: 294, episode: 9, total reward: 12.103
sample: 295, episode: 9, total reward: 6.173
sample: 296, episode: 9, total reward: 10.489
sample: 297, episode: 9, total reward: 6.953
sample: 298, episode: 9, total reward: 7.79
sample: 299, episode: 9, total reward: 14.111
sample: 300, episode: 9, total reward: 6.667
sample: 301, episode: 9, total reward: 14.167
sample: 302, episode: 9, total reward: 13.341
sample: 303, episode: 9, total reward: 15.175
sample: 304, episode: 9, total reward: 11.073
sample: 305, episode: 9, total reward: 10.916
sample: 306, episode: 9, total reward: 15.288
sample: 307, episode: 9, total reward: 6.06
sample: 308, episode: 9, total reward: 15.504
sample: 309, episode: 9, total reward: 13.657
sample: 310, episode: 9, total reward: 9.885
sample: 311, episode: 9, total reward: 13.307
sample: 312, episode: 9, total reward: 9.151
sample: 313, episode: 9, total reward: 10.13
sample: 314, episode: 9, total reward: 6.664
sample: 315, episode: 9, total reward: 8.578
sample: 316, episode: 9, total reward: 13.699
sample: 317, episode: 9, total reward: 6.371
sample: 318, episode: 9, total reward: 10.484
sample: 319, episode: 9, total reward: 7.243
sample: 320, episode: 9, total reward: 14.245
sample: 321, episode: 9, total reward: 10.22
sample: 322, episode: 9, total reward: 7.518
sample: 323, episode: 9, total reward: 11.154
sample: 324, episode: 9, total reward: 5.419
sample: 325, episode: 9, total reward: 14.262
sample: 326, episode: 9, total reward: 12.484
sample: 327, episode: 9, total reward: 9.044
sample: 328, episode: 9, total reward: 11.55
sample: 329, episode: 9, total reward: 6.889
sample: 330, episode: 9, total reward: 10.486
sample: 331, episode: 9, total reward: 9.677
sample: 332, episode: 9, total reward: 9.587
sample: 333, episode: 9, total reward: 5.279
sample: 334, episode: 9, total reward: 6.07
sample: 335, episode: 9, total reward: 14.454
sample: 336, episode: 9, total reward: 10.128
sample: 337, episode: 9, total reward: 13.496
sample: 338, episode: 9, total reward: 4.812
sample: 339, episode: 9, total reward: 4.195
sample: 340, episode: 9, total reward: 8.104
sample: 341, episode: 9, total reward: 3.502
sample: 342, episode: 9, total reward: 10.473
sample: 343, episode: 9, total reward: 6.082
sample: 344, episode: 9, total reward: 13.668
sample: 345, episode: 9, total reward: 8.691
sample: 346, episode: 9, total reward: 6.471
sample: 347, episode: 9, total reward: 11.537
sample: 348, episode: 9, total reward: 7.462
sample: 349, episode: 9, total reward: 10.617
sample: 350, episode: 9, total reward: 11.274
sample: 351, episode: 9, total reward: 10.523
sample: 352, episode: 9, total reward: 11.49
sample: 353, episode: 9, total reward: 6.022
sample: 354, episode: 9, total reward: 8.487
sample: 355, episode: 9, total reward: 8.664
sample: 356, episode: 9, total reward: 8.528
sample: 357, episode: 9, total reward: 10.318
sample: 358, episode: 9, total reward: 11.057
sample: 359, episode: 9, total reward: 5.831
sample: 360, episode: 9, total reward: 3.357
sample: 361, episode: 9, total reward: 10.503
sample: 362, episode: 9, total reward: 12.039
sample: 363, episode: 9, total reward: 8.246
sample: 364, episode: 9, total reward: 4.519
sample: 365, episode: 9, total reward: 8.824
sample: 366, episode: 9, total reward: 9.272
sample: 367, episode: 9, total reward: 5.292
sample: 368, episode: 9, total reward: 10.465
sample: 369, episode: 9, total reward: 3.147
sample: 370, episode: 9, total reward: 3.996
sample: 371, episode: 9, total reward: 6.612
sample: 372, episode: 9, total reward: 5.932
sample: 373, episode: 9, total reward: 11.335
sample: 374, episode: 9, total reward: 13.189
sample: 375, episode: 9, total reward: 6.792
sample: 376, episode: 9, total reward: 5.158
sample: 377, episode: 9, total reward: 8.477
sample: 378, episode: 9, total reward: 6.112
sample: 379, episode: 9, total reward: 10.86
sample: 380, episode: 9, total reward: 8.717
sample: 381, episode: 9, total reward: 7.578
sample: 382, episode: 9, total reward: 8.498
