sample: 309, episode: 0, total reward: 54.0
sample: 310, episode: 0, total reward: 20.0
sample: 311, episode: 0, total reward: 22.0
sample: 312, episode: 0, total reward: 26.0
sample: 313, episode: 0, total reward: 10.0
sample: 314, episode: 0, total reward: 50.0
sample: 315, episode: 0, total reward: 10.0
sample: 316, episode: 0, total reward: 18.0
sample: 317, episode: 0, total reward: 44.0
sample: 318, episode: 0, total reward: 12.0
sample: 319, episode: 0, total reward: 14.0
sample: 320, episode: 0, total reward: 23.0
sample: 321, episode: 0, total reward: 17.0
sample: 322, episode: 0, total reward: 19.0
sample: 323, episode: 0, total reward: 14.0
sample: 324, episode: 0, total reward: 33.0
sample: 325, episode: 0, total reward: 29.0
sample: 326, episode: 0, total reward: 35.0
sample: 327, episode: 0, total reward: 34.0
sample: 328, episode: 0, total reward: 13.0
sample: 329, episode: 0, total reward: 19.0
sample: 330, episode: 0, total reward: 35.0
sample: 331, episode: 0, total reward: 28.0
sample: 332, episode: 0, total reward: 18.0
sample: 333, episode: 0, total reward: 14.0
sample: 334, episode: 0, total reward: 13.0
sample: 335, episode: 0, total reward: 15.0
sample: 336, episode: 0, total reward: 12.0
sample: 337, episode: 0, total reward: 26.0
sample: 338, episode: 0, total reward: 13.0
sample: 339, episode: 0, total reward: 18.0
sample: 340, episode: 0, total reward: 33.0
sample: 341, episode: 0, total reward: 14.0
sample: 342, episode: 0, total reward: 20.0
sample: 343, episode: 0, total reward: 10.0
sample: 344, episode: 0, total reward: 14.0
sample: 345, episode: 0, total reward: 14.0
sample: 346, episode: 0, total reward: 21.0
sample: 347, episode: 0, total reward: 15.0
sample: 348, episode: 0, total reward: 30.0
sample: 349, episode: 0, total reward: 50.0
sample: 350, episode: 0, total reward: 17.0
sample: 351, episode: 0, total reward: 22.0
sample: 352, episode: 0, total reward: 29.0
sample: 353, episode: 0, total reward: 26.0
sample: 354, episode: 0, total reward: 16.0
sample: 355, episode: 0, total reward: 38.0
sample: 356, episode: 0, total reward: 47.0
sample: 357, episode: 0, total reward: 19.0
sample: 358, episode: 0, total reward: 26.0
sample: 359, episode: 0, total reward: 21.0
sample: 360, episode: 0, total reward: 18.0
sample: 361, episode: 0, total reward: 10.0
sample: 362, episode: 0, total reward: 48.0
sample: 363, episode: 0, total reward: 15.0
sample: 364, episode: 0, total reward: 14.0
sample: 365, episode: 0, total reward: 25.0
sample: 366, episode: 0, total reward: 36.0
sample: 367, episode: 0, total reward: 25.0
sample: 368, episode: 0, total reward: 15.0
sample: 369, episode: 0, total reward: 22.0
sample: 370, episode: 0, total reward: 14.0
sample: 371, episode: 0, total reward: 19.0
